"아굴절, 亞掘折, sub-refraction",,굴절 기울기가 표준 굴절 기울기보다 큰 굴절. 부분 굴절이라고도 한다. 이로 인해 전파 통로의 곡률 반지름은 표준 굴절의 경우보다 커지게 된다. →굴절률.
"유럽 무선 호출 시스템, -無線呼出-, European radio messaging system, ERMES",,"유럽 전기 통신 표준 협회(ETSI)가 지정한 무선 호출 시스템. 향후 유럽의 무선 호출 요건을 만족시키기 위한 표준이다. 이 표준은 유럽 공동체(EC)의 지지를 얻고 있어 유럽의 주요 16개국 사업자들이 상용 서비스 구현을 위한 협정을 체결하였으며, 이 협정서는 1995년 12월까지 유럽의 각 도시에 사용, 범유럽 무선 호출 시스템(ERMES) 서비스를 개시할 계획을 포함하고 있다. ERMES의 목적은 무선 호출 서비스와 예측되는 서비스들의 동향에 부응하기 위하여 개정된 시스템에 대해 정의하려는 것으로서, 이 기술은 유럽 전역의 사용자에게 일련의 종합 서비스를 제공함으로써 상호 접속된 국내 통신망 시스템을 구축할 필요가 있는 모든 인터페이스와 장치들을 다루겠다는 의도가 있다. ERMES의 서비스는 호출음 전용, 숫자 무선 호출, 문자와 숫자 혼용 무선 호출, 데이터 무선 호출 서비스 등 4가지로 요약되며 이 밖에 광범위한 추가 서비스를 지속적으로 검토하고 있다."
"유럽 물품 번호, -物品番號, European Article Number, EAN",,"표준화된 바코드를 말함. 전 세계적으로 코드 체계가 표준화되어 있어 소매점의 POS 시스템이나 제조업 혹은 물류 업자의 물류 관리 등에 사용된다. 일반적으로 널리 사용되는 표준형은 자리 수가 13자리이며, 단축형은 표준형의 크기로는 인쇄 공간이 부족한 일부 제품에 8자리로 사용된다. 이는 유통 정보 시스템 구축의 가장 기초 단위로서 유럽 물품 번호(EAN) 코드를 활용하고자 하는 업체는 유통 정보 센터에 등록함으로써 사용이 가능하다. 우리나라는 1988년도에 국제 코드 관리 기관에 정식 회원국으로 가입하면서부터 사용되기 시작했다."
"유럽 방송 연맹, -放送聯盟, European Broadcasting Union, EBU",,"유럽 내 방송사의 권익 보호, 방송 관련 연구 촉진, 정보 교환 및 회원사의 권익 대변 등을 목적으로 설립된 기구. 1946년 설립된 공산권 국제 조직 OIRT(국제방송기구)에 대응하여 1950년 서유럽 진영에서 창설되었는데, 1993년 구소련이 붕괴하자 OIRT를 흡수·통합하였다. 스위스 제네바에 본부를 두고 있으며, 유럽 방송 지역 내의 정회원 및 준정회원 71개사 외에 유럽 외 여러 나라의 방송 단체가 준회원으로 가입하고 있다."
"유럽 산업 기술 기초 연구, -産業技術基礎硏究, Basic Research in Industrial Technology for Europe, BRITE",,"유럽 공동체(EC)의 생산 기술의 기초 연구에 관한 공동 개발 프로젝트. 1986년에 시작된 이 계획은 유럽 정보 기술 연구 개발 전략(ESPRIT)이 정보 통신 기술의 연구 개발을 목적으로 하는 데 비해, 공작 기계나 컴퓨터 지원 설계 제작(CAD/CAM) 등의 요소 기술의 연구 개발에 중점을 둔다. 1989년 유럽 첨단 재료 연구 계획(EURAM)과 통합되어 BRITE/EURAM 계획이 되었다."
"유럽 우주 기관, -宇宙機關, European Space Agency, ESA",,"프랑스, 독일, 영국 등 유럽의 13개 회원국과 준회원으로 구성된 다자 간 정부 기구. 유럽의 우주 정책과 우주 개발 계획 및 기술의 연구 개발을 조정하고 공동으로 추진한다. 우주 개발 계획을 총괄 조정 관리하는 본부는 파리에 있으며 그 산하에 연구 개발 업무를 수행하는 유럽 우주 기술 센터(ESTEC), 유럽 우주 운용 센터(ESOC) 및 지상 시설을 관리하는 유럽 우주 연구소(ESRIN) 등이 있다. "
"유럽 우주 기술 센터, -宇宙技術-, European Space Research and Technology Center, ESTEC",,"유럽 우주 기관(ESA) 3개 중의 하나. 네덜란드에 설치되어 있다. 다른 2개 중에 유럽 우주 운용 센터(ESOC)는 독일에, 유럽 우주 연구소(ESRIN)는 이탈리아에 설치되어 있다. 유럽 우주 기술 센터(ESTEC)의 업무는 ㉠과학, 통신, 지구 관측, 수송 시스템 분야에서의 프로젝트 관리, ㉡우주 과학 계획, 유럽 우주 기술, 연구 개발 실시, ㉢장래 계획에 관한 연구, ㉣인공위성의 시험이다."
"유럽 우편 전기 통신 주관청 회의, -郵便電氣通信主管廳會議, European Conference of Postal and Telecommunications Administrations, CEPT",,"유럽 국가 간의 우편/전기 통신 분야의 협력을 증진하고 각국의 정책 조정을 목적으로 하는 34개국 주관청의 상설 기관. 본부는 스위스 베른에 있다. 공식적으로 인정된 정부 간 국제 기구는 아니지만 수시로 표준을 권고하고 정책을 제시하며 만국 우편 연합(UPU), 국제 전기 통신 연합(ITU) 등 국제 기구에서 유럽의 견해와 입장을 대변한다. 흔히 CEPT 표준이라고 하는 표준은 이 기구에서 채택한 것이다. 표준화 관련 자매 기구로서 유럽 표준 위원회/유럽 전기 표준 회의(CEN/CENELEC)의 작업 프로그램에 참여하며 통신에 관계되는 기술 분야에 많은 권고안을 내고, 회원들 간의 기술적 표준을 개선시키는 것을 주 임무로 한다."
"유럽 우편 전기 통신 주관청 회의 표현 계층 프로토콜 구문, -表現階層-構文, CEPT Presentation Level Protocol Syntax, CEPT PLPS",,"유럽 방식 비디오텍스 표준 프로토콜. 북미의 NAPLPS와 일본의 CAPTAIN PLPS와 함께 국제 전신 전화 자문 위원회(CCITT:현 ITU-T)가 제정한 비디오텍스 국제 표준의 하나이다. 유럽 우편 전기 통신 주관청 회의 표현층 프로토콜 구문(CEPT PLPS)은 알파모자이크(alphamosaic) 방식으로 문자/도형을 화면에 표시하기 위한 비디오텍스 전송용 통신 프로토콜이다. 영국에서 개발되어 유럽 우편 전기 통신 주관청 회의(CEPT)에 의해 유럽 통일 표준으로 채택되고, OSI 기본 참조 모델의 제6계층인 표현 계층을 지원하는 국제 표준으로 제정되었다. 영국의 프레스텔(Prestel), 프랑스의 텔레텔(Teletel) 등 유럽 각국의 비디오텍스가 이 방식을 채용하고 있다."
"유럽 위성 운용 센터, -衛星運用-, European Space Operation Center, ESOC",,"유럽 우주 기관(ESA)에서 발사하는 위성의 운용 관리 센터. 위성으로부터의 데이터를 처리하고, 지상의 제어국에 필요한 지시를 내리며 궤도 위치의 수정 계획을 작성한다. 위성의 강체역학(剛體力學), 데이터 처리 등의 연구도 수행하는 대규모의 컴퓨터 센터이다."
"유럽전기통신표준, -電氣通信標準, ETSI Standards, ES",,"유럽공동체(EC) 및 유럽자유무역지역(EFTA) 회원국의 공식 표준화 기관인 유럽전기통신표준협회(ETSI)에서 제정한 정보통신기술분야 표준.  ES는 자율 표준(voluntary standard)으로 강제력을 갖지는 않지만, ETSI에서 어떤 표준이 제정되면 모든 회원은 그 표준과 다른 국가 표준의 제정을 정지해야 하는 의무(standstill obligation)를 준수하므로 사실상의 유럽표준이며, 유럽회원국에 적용되는 국제표준이다."
"유럽전기통신표준협회, -電氣通信標準協會, European Telecommunications Standards Institute, ETSI",,"통신과 방송 및 이와 밀접한 관련이 있는 첨단교통과 의료전자 등 정보통신기술(ICT)분야의 ES(ETSI Standard)표준 제정을 촉진하고 총괄 조정하는 유럽의 독립된 비영리 기관.  1988년 유럽 공동체(EC) 집행 위원회의 결정에 의해 유럽우편전기통신주관청회의(CEPT)에서 수행하던 표준화 기능과 조직을 모체로 설립된 기관이다. 본부는 프랑스의 소피아 안티폴리스에 있으며, 유럽연합(EU) 회원국의 주관청을 비롯하여 유럽자유무역지역(EFTA) 회원국의 전기 통신 사업자, 제조업자 및 연구 기관 등 55개국의 688개 이상의 회원으로 구성되어 있다. URL : www.etsi.org."
"유럽 전기 표준 회의, -電氣標準會議, Comité Européen de Normalisation Électrotechnique, CENELEC",,"유럽 공동체(EC) 및 유럽 자유 무역 지역(EFTA) 가맹 제국의 국가 전기 표준 위원회(National Electrotechnical Committee) 또는 국가 전기 표준화를 위임받은 기관이나 단체들의 연합체. 유럽 전기 표준 회의(CENELEC)의 임무는 주로 전기 안전, 전자기적 양립성(EMC), 전기 전자에 관한 사항(특히 표시 및 증명)을 일치시켜 회원 국가의 무역 장벽을 제거하는 것이다. CENELEC이 제정하는 표준을 ENs(Européen Normes)라고 하는데, 이것을 각국의 전기 표준 기관으로 하여금 자국 내의 세부 시행 절차와 함께 발표하고 출판하도록 하고 있다. CENELEC은 유럽 표준 위원회(CEN)와 밀접한 협조 체제를 유지하면서 국제 표준화 기구(ISO)와 국제 전기 표준 회의(IEC)의 표준화 활동에 관한 유럽 전체의 입장을 협의 조정한다. 본부는 벨기에의 브뤼셀에 있다."
"유럽 전파 통신 위원회, -電波通信委員會, European Radiocommunication Office, ERO",,"범유럽 차원의 주파수 조정 및 할당 기능을 수행하는 유럽 우편 전기 통신 주관청 회의(CEPT) 산하의 위원회. 1993년부터 유럽 공동체(EC)가 유럽 연합(EU)으로 확대되어 시장이 단일화되고 전기 통신의 자유화가 진전되면서 이동 통신, 위성 통신 및 방송의 발전을 위해 전파 자원을 효율적으로 관리할 필요성에 따라 설치되었다."
"유럽 지역 통신 위성, -地域通信衛星, European Communications Satellite, ECS",,유럽 내의 지상계 통신 보완 및 방송 기관의 TV 전송에 제공하기 위해 유럽 우주 기관(ESA)에 의해 발사된 위성. 이 위성의 운용 관리는 유럽 전기 통신 위성 기구(EUTELSAT)가 하고 있다.
"유럽 첨단 통신 기술 연구 개발 계획, -尖端通信技術硏究開發計劃, Research and Development in Advanced Communication Technologies for Europe, RACE",,"유럽 공동체(EC)의 첨단 통신 기술에 관한 계획. 1985년 12월 각료 회의에서 채택, 1995년까지 전 유럽에 통합 광대역 통신망(IBCN) 도입을 마쳤다. 첨단 통신 기술 소개, 기술 개발 전략 수립, 새로운 서비스 발굴, 기존 서비스 개량, 국제 기준 작성, 기능 규격 개발 등을 담당하였다."
"유럽 컴퓨터 제조업자 협회, -製造業者協會, European Computer Manufacturers Association, ECMA",,"유럽 내의 정보 처리 및 전기 통신 부문의 하드웨어, 소프트웨어 또는 서비스의 개발, 제조 또는 판매 회사로 구성된 업계 단체. 정보 처리 및 전기 통신 시스템의 이용 확대와 표준화를 촉진하기 위하여 유럽의 표준화 기관 및 국제 기구와 협력하여 표준 규격을 개발하고, 정보 처리 및 전기 통신 시스템의 기능 설계에 활용할 수 있는 기술 규격 개발을 목적으로 하는 비영리 단체이다. 유럽 컴퓨터 제조업자 협회(ECMA)의 연구 개발 산출물은 무상, 무제한으로 배포된다. OSI 기본 참조 모델의 개발에 상당한 기여를 하였으며 현재 사설망 신호 시스템의 개발을 주도하고 있다. ECMA는 ISO/IEC JTC 1의 A급 연락 회원이며 ITU-T, CEN, CENELEC, EWOS, ETSI 등과 긴밀한 협력 체제를 유지하고 있다. 본부는 스위스 제네바에 있다."
"유럽 표준, -標準, European Norm, EN",,"유럽의 통합에 따라서 상품과 서비스 시장의 단일화를 달성하는 데 필요한 표준. 각국의 표준 제정 작업을 협의 조정하고 유럽 표준을 제정하는 기관 중 대표적인 기관이 유럽 표준 위원회(CEN), 유럽 전기 표준 회의(CENELEC), 유럽 전기 통신 표준 협회(ETSI)인데, CEN과 CENELEC에서 제정하여 공표하는 유럽 표준은 EN(European Norm)이며, ETSI에서 제정하는 유럽 표준은 유럽 전기 통신 표준(ES:ETSI Standard)이라고 한다."
"유럽 표준안, -標準案, European prestandard, ENV",,"유럽 표준 위원회(CEN)와 유럽 전기 표준 회의(CENELEC)에서 제정하는 표준을 EN 이라고 하는데, EN 초안이 최종 기술 심의 기관인 CEN과 CENELEC의 기술 위원회(BT: Technical Board)의 승인을 받은 것. 유럽 표준안(ENV)은 각 회원국의 국가 표준 기관이 주관하는 국내 공개 심의(Public Enquiry) 절차를 거친 후에 회원국 주관청의 가중 투표 절차에 의해 승인되면 EN으로 확정된다."
"유럽 표준 위원회, -標準委員會, Comité Européen de Normalisation, CEN",,"유럽 공동체(EC) 및 유럽 자유 무역 지역(EFTA) 가맹 제국의 국가 표준 기관·단체의 연합. 유럽의 상품과 서비스 시장의 단일화(통합화)를 달성하는 데 필요한 표준 제정을 협의, 조정하기 위해 설립되었으며, 유럽 전기 통신 표준 협회(ETSI)와 유럽 전기 표준 회의(CENELEC)가 관장하지 않는 분야의 표준을 직접 제정하는 기능도 수행하고 있다. 유럽 표준 위원회(CEN)가 산출하는 표준을 ENs 라고 하는데, 이것을 CEN이 발표하지 않고 각국 표준 기관으로 하여금 자국 내의 세부 시행 절차와 함께 발표하고 출판하도록 하고 있다. CEN은 특히 국제 표준화 기구(ISO)와 국제 전기 표준 회의(IEC)의 표준화 활동에 관한 유럽의 입장과 의견을 협의, 조정한다. 본부는 벨기에 브뤼셀에 있다."
"유럽 표준 진흥과 응용 그룹, -標準振興-應用-, Standards Promotion and Application Group, SPAG",,유럽 내 컴퓨터 관련 제조업체들이 표준의 적용과 촉진을 위해 1985년에 조직한 민간 단체. 기능 표준 제정과 프로토콜 시험에 관한 연구 개발을 수행하며 규격 사용 안내서(GUS)라는 기능 표준서를 발표하였다.
"유럽 해사 통신 위성, -海事通信衛星, Maritime European Communication Satellite, MARECS",,"유럽 우주 기관(ESA)이 개발한 위성. 유럽 지역 통신 위성(ECS)을 개조하여 만든 해사 통신 위성으로, 국제 해사 위성 기구(INMARSAT) 시스템 위성의 일부로 사용되고 있다."
